Tarih,Bölge,Ülke,Şehir,Ürün Kategorisi,Ürün Adı,Satış Miktarı,Satış Geliri ($),Kâr Marjı (%),Müşteri Segmenti
2023-09-22,Asya,Hindistan,Mumbai,Giyim,Pantolon,3,1269,22.36,Bireysel
2023-12-09,Afrika,Nijerya,Lagos,Elektronik,Laptop,13,676,9.16,KOBİ
2023-04-03,Kuzey Amerika,ABD,New York,Elektronik,Kulaklık,8,1424,20.91,Bireysel
2023-01-17,Kuzey Amerika,Meksika,Mexico City,Mobilya,Sandalye,4,868,19.88,Bireysel
2023-04-04,Asya,Hindistan,Mumbai,Mobilya,Dolap,11,2332,17.48,Kurumsal
2023-11-09,Avrupa,Fransa,Paris,Elektronik,Telefon,8,3928,18.63,Kurumsal
2023-07-23,Asya,Çin,Pekin,Mobilya,Dolap,2,220,28.97,Kurumsal
2023-09-25,Avrupa,Almanya,Berlin,Mobilya,Sandalye,12,2724,5.86,Bireysel
2023-01-10,Afrika,Nijerya,Lagos,Elektronik,Kulaklık,1,421,6.3,KOBİ
2023-05-16,Asya,Hindistan,Mumbai,Giyim,Ceket,5,1440,28.52,Kurumsal
2023-03-20,Kuzey Amerika,Meksika,Mexico City,Elektronik,Tablet,8,728,15.73,Bireysel
2023-08-16,Afrika,Güney Afrika,Cape Town,Mobilya,Dolap,18,3564,29.53,Bireysel
2024-01-01,Kuzey Amerika,Kanada,Toronto,Mobilya,Masa,15,735,11.92,Bireysel
2023-02-26,Asya,Çin,Pekin,Giyim,Ceket,20,6500,22.05,KOBİ
2023-09-27,Güney Amerika,Arjantin,Buenos Aires,Giyim,Tişört,17,5372,27.17,Kurumsal
2023-12-20,Avrupa,Almanya,Berlin,Elektronik,Kulaklık,18,6300,28.14,Kurumsal
2023-01-29,Afrika,Mısır,Kahire,Mobilya,Kitaplık,2,640,28.17,Kurumsal
2023-07-20,Avrupa,Fransa,Paris,Elektronik,Laptop,5,845,17.65,KOBİ
2023-04-18,Güney Amerika,Şili,Santiago,Elektronik,Telefon,20,2220,13.39,Kurumsal
2023-10-06,Asya,Japonya,Tokyo,Mobilya,Masa,18,5796,11.11,KOBİ
2023-03-01,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Sandalye,19,7923,21.3,Bireysel
2023-07-26,Kuzey Amerika,Kanada,Toronto,Mobilya,Masa,8,3288,5.63,Bireysel
2023-11-14,Afrika,Güney Afrika,Cape Town,Giyim,Tişört,13,2028,20.81,KOBİ
2023-03-02,Kuzey Amerika,ABD,New York,Elektronik,Tablet,7,1260,9.85,KOBİ
2023-01-27,Afrika,Mısır,Kahire,Mobilya,Kitaplık,19,3534,24.11,Bireysel
2023-07-25,Kuzey Amerika,Meksika,Mexico City,Elektronik,Laptop,1,204,9.25,Bireysel
2023-09-07,Güney Amerika,Arjantin,Buenos Aires,Elektronik,Kulaklık,5,1070,7.41,Kurumsal
2023-09-25,Kuzey Amerika,ABD,New York,Elektronik,Laptop,2,862,26.17,Kurumsal
2023-01-06,Kuzey Amerika,ABD,New York,Elektronik,Tablet,17,8364,19.83,Kurumsal
2023-11-21,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Masa,7,2730,29.67,KOBİ
2023-01-28,Kuzey Amerika,Meksika,Mexico City,Mobilya,Kitaplık,18,576,21.73,Kurumsal
2023-02-01,Kuzey Amerika,ABD,New York,Elektronik,Telefon,19,2033,10.28,Kurumsal
2023-09-09,Güney Amerika,Şili,Santiago,Mobilya,Dolap,8,1360,17.22,KOBİ
2023-02-11,Kuzey Amerika,Kanada,Toronto,Elektronik,Telefon,2,274,15.71,Bireysel
2023-02-25,Asya,Hindistan,Mumbai,Elektronik,Kulaklık,19,4275,6.72,Kurumsal
2023-01-17,Kuzey Amerika,Meksika,Mexico City,Giyim,Pantolon,14,4018,24.97,Bireysel
2023-05-09,Kuzey Amerika,Kanada,Toronto,Giyim,Tişört,12,4824,19.14,KOBİ
2023-12-02,Avrupa,Almanya,Berlin,Giyim,Tişört,4,1916,9.51,Kurumsal
2023-03-28,Asya,Hindistan,Mumbai,Mobilya,Sandalye,7,1113,17.53,Kurumsal
2023-06-19,Kuzey Amerika,Meksika,Mexico City,Giyim,Tişört,10,2210,9.86,KOBİ
2023-06-03,Kuzey Amerika,Meksika,Mexico City,Mobilya,Sandalye,2,142,24.89,Bireysel
2023-03-20,Avrupa,Fransa,Paris,Mobilya,Dolap,18,5256,18.03,Kurumsal
2023-10-08,Avrupa,Fransa,Paris,Mobilya,Masa,2,840,21.11,Bireysel
2023-01-13,Avrupa,Fransa,Paris,Giyim,Pantolon,14,1890,14.44,KOBİ
2023-04-20,Afrika,Mısır,Kahire,Mobilya,Sandalye,6,282,12.11,Bireysel
2023-01-21,Avrupa,Fransa,Paris,Giyim,Ayakkabı,6,2352,21.09,Kurumsal
2023-04-03,Avrupa,Fransa,Paris,Elektronik,Laptop,8,3432,7.91,Bireysel
2023-04-24,Güney Amerika,Arjantin,Buenos Aires,Elektronik,Kulaklık,16,5600,7.91,Kurumsal
2023-05-01,Avrupa,İngiltere,Londra,Giyim,Ceket,20,9320,7.98,KOBİ
2023-02-14,Güney Amerika,Şili,Santiago,Elektronik,Laptop,9,360,27.56,KOBİ
2023-03-24,Kuzey Amerika,Kanada,Toronto,Elektronik,Telefon,4,1996,28.47,Bireysel
2023-11-07,Kuzey Amerika,Kanada,Toronto,Elektronik,Tablet,14,294,19.09,KOBİ
2023-07-16,Afrika,Nijerya,Lagos,Mobilya,Sandalye,12,2064,19.74,Bireysel
2023-01-02,Asya,Çin,Pekin,Mobilya,Masa,20,8180,9.64,Bireysel
2023-10-18,Avrupa,İngiltere,Londra,Giyim,Pantolon,9,972,6.86,Kurumsal
2023-10-29,Afrika,Güney Afrika,Cape Town,Mobilya,Kitaplık,6,198,27.23,KOBİ
2023-07-22,Afrika,Mısır,Kahire,Elektronik,Telefon,19,7923,13.25,Bireysel
2023-08-15,Asya,Çin,Pekin,Giyim,Pantolon,3,1146,24.06,KOBİ
2023-02-20,Güney Amerika,Arjantin,Buenos Aires,Elektronik,Telefon,15,3165,24.67,Bireysel
2023-09-25,Afrika,Nijerya,Lagos,Elektronik,Laptop,17,8364,23.26,KOBİ
2023-11-19,Afrika,Güney Afrika,Cape Town,Mobilya,Kitaplık,14,6538,11.35,KOBİ
2023-11-20,Avrupa,Fransa,Paris,Mobilya,Sandalye,11,3894,14.39,KOBİ
2023-05-15,Asya,Hindistan,Mumbai,Giyim,Pantolon,11,1089,29.37,Kurumsal
2023-12-01,Kuzey Amerika,ABD,New York,Mobilya,Sandalye,18,8262,26.46,Kurumsal
2023-10-08,Afrika,Nijerya,Lagos,Giyim,Tişört,12,5628,24.87,Bireysel
2023-09-07,Afrika,Mısır,Kahire,Elektronik,Laptop,6,120,11.65,Kurumsal
2023-01-24,Afrika,Güney Afrika,Cape Town,Mobilya,Kitaplık,11,4499,29.98,Bireysel
2023-03-02,Kuzey Amerika,ABD,New York,Mobilya,Kitaplık,4,1332,23.26,Bireysel
2023-03-05,Asya,Hindistan,Mumbai,Elektronik,Telefon,7,3486,26.24,Kurumsal
2023-04-30,Güney Amerika,Arjantin,Buenos Aires,Elektronik,Kulaklık,15,3405,18.91,KOBİ
2023-08-07,Asya,Japonya,Tokyo,Mobilya,Masa,18,432,10.63,KOBİ
2023-10-13,Avrupa,Fransa,Paris,Giyim,Ceket,7,1820,19.05,KOBİ
2023-09-08,Afrika,Güney Afrika,Cape Town,Giyim,Pantolon,17,2159,16.64,Kurumsal
2023-08-12,Afrika,Güney Afrika,Cape Town,Mobilya,Kitaplık,7,679,7.4,KOBİ
2023-06-04,Asya,Japonya,Tokyo,Giyim,Ayakkabı,7,3311,20.19,KOBİ
2023-11-11,Kuzey Amerika,Kanada,Toronto,Elektronik,Tablet,18,756,23.05,Kurumsal
2023-08-13,Güney Amerika,Arjantin,Buenos Aires,Giyim,Ayakkabı,20,4820,19.39,Bireysel
2023-03-17,Asya,Çin,Pekin,Giyim,Ceket,20,3900,29.43,Kurumsal
2023-01-06,Asya,Japonya,Tokyo,Mobilya,Dolap,8,512,23.31,Kurumsal
2023-09-14,Asya,Japonya,Tokyo,Mobilya,Sandalye,14,1694,5.79,Bireysel
2023-03-28,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Masa,6,720,24.7,Bireysel
2023-09-22,Asya,Çin,Pekin,Elektronik,Telefon,2,538,10.95,KOBİ
2023-10-31,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Dolap,14,3836,28.68,Bireysel
2023-11-29,Güney Amerika,Şili,Santiago,Elektronik,Tablet,19,3078,8.9,KOBİ
2023-08-23,Güney Amerika,Şili,Santiago,Giyim,Pantolon,4,640,14.1,Kurumsal
2023-02-12,Afrika,Güney Afrika,Cape Town,Elektronik,Telefon,6,726,26.07,Bireysel
2023-09-04,Afrika,Güney Afrika,Cape Town,Elektronik,Kulaklık,20,9860,29.22,Bireysel
2023-07-11,Avrupa,Fransa,Paris,Mobilya,Dolap,8,3224,16.17,Kurumsal
2023-05-19,Güney Amerika,Şili,Santiago,Elektronik,Kulaklık,15,3420,20.0,Kurumsal
2023-06-02,Afrika,Güney Afrika,Cape Town,Mobilya,Masa,3,714,18.32,Bireysel
2023-06-17,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Masa,1,460,11.44,KOBİ
2023-02-01,Afrika,Nijerya,Lagos,Elektronik,Tablet,11,5016,14.4,Bireysel
2023-01-28,Asya,Hindistan,Mumbai,Mobilya,Sandalye,19,5681,16.37,Bireysel
2023-11-17,Avrupa,Almanya,Berlin,Mobilya,Dolap,16,3216,18.91,KOBİ
2023-03-07,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Dolap,1,402,23.12,Bireysel
2023-09-21,Avrupa,Fransa,Paris,Giyim,Ayakkabı,10,580,21.59,KOBİ
2023-07-15,Güney Amerika,Şili,Santiago,Mobilya,Kitaplık,17,748,14.07,Bireysel
2023-01-01,Kuzey Amerika,Meksika,Mexico City,Mobilya,Kitaplık,13,3861,8.26,Kurumsal
2023-01-26,Güney Amerika,Arjantin,Buenos Aires,Giyim,Pantolon,6,726,8.55,Kurumsal
2023-02-13,Asya,Çin,Pekin,Giyim,Tişört,17,8143,5.79,Kurumsal
2023-08-10,Afrika,Mısır,Kahire,Giyim,Ceket,2,978,6.58,Kurumsal
2023-11-28,Güney Amerika,Brezilya,Sao Paulo,Elektronik,Kulaklık,19,722,25.48,Bireysel
2023-07-13,Afrika,Mısır,Kahire,Elektronik,Laptop,8,3224,11.03,KOBİ
2023-05-02,Güney Amerika,Arjantin,Buenos Aires,Elektronik,Tablet,15,1530,29.62,KOBİ
2023-01-06,Kuzey Amerika,Meksika,Mexico City,Elektronik,Telefon,10,720,22.83,KOBİ
2023-11-25,Avrupa,İngiltere,Londra,Elektronik,Tablet,18,6642,10.61,Bireysel
2023-04-03,Asya,Hindistan,Mumbai,Elektronik,Telefon,2,360,19.27,KOBİ
2023-10-10,Afrika,Güney Afrika,Cape Town,Mobilya,Kitaplık,2,772,26.24,Kurumsal
2023-07-03,Afrika,Nijerya,Lagos,Mobilya,Dolap,13,1352,14.02,KOBİ
2023-09-13,Avrupa,Almanya,Berlin,Giyim,Tişört,11,3564,21.25,Bireysel
2023-07-06,Avrupa,Almanya,Berlin,Giyim,Tişört,10,2430,18.0,KOBİ
2023-05-06,Afrika,Güney Afrika,Cape Town,Elektronik,Tablet,15,2250,17.78,Bireysel
2023-02-15,Asya,Çin,Pekin,Elektronik,Kulaklık,14,2996,16.36,Bireysel
2023-05-10,Avrupa,Fransa,Paris,Giyim,Pantolon,16,5856,7.74,KOBİ
2023-06-08,Avrupa,İngiltere,Londra,Giyim,Pantolon,6,2622,29.61,KOBİ
2023-12-31,Afrika,Mısır,Kahire,Mobilya,Kitaplık,3,1233,7.75,Bireysel
2023-10-05,Asya,Japonya,Tokyo,Mobilya,Dolap,16,2752,23.09,Bireysel
2023-11-08,Avrupa,Almanya,Berlin,Giyim,Pantolon,12,3804,8.25,Kurumsal
2023-03-26,Kuzey Amerika,Kanada,Toronto,Giyim,Ceket,7,1169,7.97,KOBİ
2023-05-01,Avrupa,İngiltere,Londra,Giyim,Tişört,11,4455,8.75,KOBİ
2023-11-18,Asya,Japonya,Tokyo,Giyim,Ceket,2,858,14.82,KOBİ
2023-08-26,Avrupa,İngiltere,Londra,Mobilya,Dolap,2,126,23.45,Kurumsal
2023-05-15,Kuzey Amerika,ABD,New York,Elektronik,Kulaklık,1,432,26.4,Kurumsal
2023-08-06,Avrupa,İngiltere,Londra,Mobilya,Sandalye,2,980,29.65,Kurumsal
2023-11-24,Avrupa,Fransa,Paris,Mobilya,Sandalye,5,1615,13.83,KOBİ
2023-09-24,Güney Amerika,Brezilya,Sao Paulo,Elektronik,Laptop,2,952,23.3,Kurumsal
2023-11-28,Asya,Çin,Pekin,Giyim,Ceket,20,9980,5.27,Bireysel
2023-12-06,Kuzey Amerika,ABD,New York,Giyim,Ceket,4,316,26.45,Bireysel
2023-10-21,Avrupa,Almanya,Berlin,Mobilya,Sandalye,15,4800,5.18,Kurumsal
2023-10-28,Afrika,Güney Afrika,Cape Town,Elektronik,Tablet,13,2067,21.45,KOBİ
2023-01-08,Avrupa,Fransa,Paris,Giyim,Tişört,7,2030,10.84,Kurumsal
2023-03-10,Afrika,Nijerya,Lagos,Mobilya,Kitaplık,18,4410,29.52,KOBİ
2023-07-28,Avrupa,Almanya,Berlin,Elektronik,Kulaklık,5,1230,8.37,Kurumsal
2023-10-16,Asya,Japonya,Tokyo,Giyim,Tişört,20,9220,7.16,Bireysel
2023-08-07,Avrupa,Almanya,Berlin,Elektronik,Tablet,3,1179,13.62,Bireysel
2023-10-20,Asya,Hindistan,Mumbai,Giyim,Ayakkabı,1,195,15.67,Kurumsal
2023-09-06,Afrika,Güney Afrika,Cape Town,Mobilya,Kitaplık,11,4895,28.64,Bireysel
2023-07-29,Avrupa,Almanya,Berlin,Giyim,Pantolon,1,395,18.8,KOBİ
2023-11-06,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Masa,12,3240,6.63,Bireysel
2023-06-17,Asya,Japonya,Tokyo,Giyim,Tişört,14,5782,24.39,KOBİ
2023-01-23,Afrika,Güney Afrika,Cape Town,Mobilya,Dolap,10,2170,19.31,KOBİ
2023-10-30,Kuzey Amerika,Meksika,Mexico City,Mobilya,Dolap,7,980,6.24,KOBİ
2023-02-02,Asya,Çin,Pekin,Elektronik,Telefon,7,1358,13.39,Bireysel
2023-10-07,Afrika,Güney Afrika,Cape Town,Giyim,Tişört,11,2057,12.59,Kurumsal
2023-03-12,Afrika,Mısır,Kahire,Mobilya,Sandalye,5,2335,11.02,Bireysel
2023-11-06,Asya,Japonya,Tokyo,Giyim,Tişört,4,592,13.09,KOBİ
2023-07-21,Avrupa,Fransa,Paris,Giyim,Pantolon,17,2040,10.89,Kurumsal
2023-09-04,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Dolap,17,1598,20.89,Bireysel
2023-07-02,Güney Amerika,Arjantin,Buenos Aires,Giyim,Ceket,6,2232,25.74,KOBİ
2023-12-27,Afrika,Güney Afrika,Cape Town,Elektronik,Telefon,13,2171,14.56,KOBİ
2023-03-20,Avrupa,Fransa,Paris,Mobilya,Sandalye,5,2325,7.88,Kurumsal
2023-11-15,Avrupa,İngiltere,Londra,Elektronik,Telefon,2,636,20.07,Bireysel
2023-11-27,Asya,Japonya,Tokyo,Elektronik,Laptop,7,1547,21.54,Bireysel
2023-05-01,Avrupa,Almanya,Berlin,Mobilya,Kitaplık,9,3249,19.15,KOBİ
2023-02-04,Kuzey Amerika,ABD,New York,Mobilya,Dolap,17,4947,12.01,Bireysel
2023-04-26,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Dolap,8,2400,15.1,Bireysel
2023-12-06,Kuzey Amerika,ABD,New York,Elektronik,Laptop,18,8280,29.32,Bireysel
2023-08-23,Avrupa,İngiltere,Londra,Giyim,Tişört,8,1576,14.7,Kurumsal
2023-10-21,Güney Amerika,Şili,Santiago,Mobilya,Masa,14,5558,10.26,KOBİ
2023-06-18,Afrika,Nijerya,Lagos,Giyim,Ayakkabı,10,130,17.48,Bireysel
2023-09-02,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Masa,8,2568,13.1,Bireysel
2023-10-15,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Sandalye,4,84,15.43,Bireysel
2023-03-24,Afrika,Mısır,Kahire,Mobilya,Dolap,5,1400,19.74,KOBİ
2023-02-26,Asya,Hindistan,Mumbai,Giyim,Tişört,7,2002,5.17,Kurumsal
2023-07-20,Afrika,Mısır,Kahire,Elektronik,Telefon,2,566,21.23,KOBİ
2023-04-03,Asya,Çin,Pekin,Mobilya,Kitaplık,11,594,21.44,Kurumsal
2023-10-03,Avrupa,İngiltere,Londra,Mobilya,Sandalye,2,142,23.37,Kurumsal
2023-12-21,Afrika,Mısır,Kahire,Elektronik,Telefon,18,8298,11.03,KOBİ
2023-08-27,Afrika,Güney Afrika,Cape Town,Elektronik,Tablet,10,2790,9.72,KOBİ
2023-05-09,Kuzey Amerika,Meksika,Mexico City,Elektronik,Tablet,13,4940,29.43,KOBİ
2023-04-11,Kuzey Amerika,Meksika,Mexico City,Elektronik,Laptop,18,6138,26.91,KOBİ
2023-03-05,Asya,Çin,Pekin,Giyim,Pantolon,11,3872,7.91,Bireysel
2023-10-06,Avrupa,İngiltere,Londra,Mobilya,Sandalye,12,2796,27.31,Bireysel
2023-08-31,Kuzey Amerika,Meksika,Mexico City,Mobilya,Masa,20,5440,20.23,Bireysel
2023-08-21,Kuzey Amerika,Meksika,Mexico City,Mobilya,Kitaplık,10,2770,12.15,Bireysel
2023-08-17,Afrika,Nijerya,Lagos,Elektronik,Kulaklık,2,502,13.92,Bireysel
2023-12-05,Avrupa,Almanya,Berlin,Giyim,Ceket,18,4428,27.68,Bireysel
2023-10-07,Kuzey Amerika,Kanada,Toronto,Elektronik,Tablet,18,2790,20.66,KOBİ
2023-07-11,Avrupa,Almanya,Berlin,Giyim,Ceket,16,5600,19.74,Kurumsal
2023-08-16,Avrupa,İngiltere,Londra,Giyim,Tişört,4,188,15.32,Kurumsal
2023-09-03,Güney Amerika,Şili,Santiago,Elektronik,Telefon,19,8987,29.36,Bireysel
2023-11-22,Kuzey Amerika,ABD,New York,Elektronik,Telefon,4,268,13.47,Kurumsal
2023-03-22,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Dolap,14,238,20.34,Bireysel
2023-04-03,Avrupa,Fransa,Paris,Mobilya,Dolap,12,2436,9.68,Bireysel
2023-08-29,Afrika,Mısır,Kahire,Giyim,Tişört,6,2202,8.8,KOBİ
2023-02-06,Afrika,Güney Afrika,Cape Town,Giyim,Ceket,1,44,18.26,Kurumsal
2023-04-09,Afrika,Nijerya,Lagos,Giyim,Tişört,12,1848,15.16,Bireysel
2023-08-02,Afrika,Mısır,Kahire,Elektronik,Laptop,14,6034,26.04,Kurumsal
2023-02-16,Kuzey Amerika,Kanada,Toronto,Giyim,Ceket,5,320,17.86,Bireysel
2023-10-21,Asya,Çin,Pekin,Mobilya,Dolap,14,4116,15.45,KOBİ
2023-04-24,Güney Amerika,Arjantin,Buenos Aires,Elektronik,Laptop,1,441,27.34,Bireysel
2023-12-06,Afrika,Mısır,Kahire,Mobilya,Sandalye,14,2198,8.4,KOBİ
2023-06-02,Afrika,Nijerya,Lagos,Giyim,Ceket,4,160,25.96,Kurumsal
2023-02-27,Asya,Japonya,Tokyo,Giyim,Pantolon,20,9940,10.24,KOBİ
2023-09-02,Afrika,Mısır,Kahire,Mobilya,Dolap,8,3120,10.58,Bireysel
2023-10-16,Asya,Çin,Pekin,Giyim,Ayakkabı,6,246,10.54,KOBİ
2023-10-09,Güney Amerika,Brezilya,Sao Paulo,Elektronik,Telefon,9,3456,28.66,Bireysel
2023-02-13,Güney Amerika,Şili,Santiago,Elektronik,Telefon,9,2025,15.55,Kurumsal
2023-08-18,Asya,Japonya,Tokyo,Elektronik,Telefon,19,1672,27.48,Kurumsal
2023-04-24,Asya,Çin,Pekin,Elektronik,Tablet,7,707,19.47,Bireysel
2023-07-08,Avrupa,Fransa,Paris,Mobilya,Kitaplık,17,8007,14.96,Bireysel
2023-12-14,Kuzey Amerika,ABD,New York,Elektronik,Laptop,9,4239,5.47,Bireysel
2023-04-27,Kuzey Amerika,Meksika,Mexico City,Giyim,Ayakkabı,20,280,17.14,KOBİ
2023-12-25,Asya,Japonya,Tokyo,Mobilya,Masa,19,4959,18.16,Kurumsal
2023-04-05,Asya,Japonya,Tokyo,Elektronik,Kulaklık,1,165,5.75,KOBİ
2023-11-29,Afrika,Güney Afrika,Cape Town,Mobilya,Sandalye,7,2233,13.88,KOBİ
2023-05-14,Asya,Hindistan,Mumbai,Mobilya,Dolap,15,4230,18.86,KOBİ
2023-02-07,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Dolap,4,732,23.93,KOBİ
2023-01-03,Asya,Japonya,Tokyo,Elektronik,Kulaklık,3,411,21.49,KOBİ
2023-03-14,Asya,Japonya,Tokyo,Mobilya,Sandalye,10,2630,19.92,Kurumsal
2023-08-14,Asya,Japonya,Tokyo,Elektronik,Kulaklık,5,1240,7.65,Kurumsal
2023-03-10,Asya,Hindistan,Mumbai,Giyim,Pantolon,2,866,11.85,Kurumsal
2023-06-10,Asya,Hindistan,Mumbai,Elektronik,Tablet,1,363,12.74,Kurumsal
2023-11-23,Güney Amerika,Şili,Santiago,Elektronik,Kulaklık,15,5100,11.48,KOBİ
2023-06-22,Güney Amerika,Şili,Santiago,Giyim,Pantolon,7,3066,12.82,Kurumsal
2023-07-22,Kuzey Amerika,ABD,New York,Elektronik,Laptop,2,682,17.35,Bireysel
2023-09-22,Afrika,Nijerya,Lagos,Giyim,Pantolon,3,1473,11.09,Kurumsal
2023-12-18,Afrika,Nijerya,Lagos,Mobilya,Dolap,14,3542,6.34,Kurumsal
2023-12-18,Afrika,Güney Afrika,Cape Town,Elektronik,Kulaklık,18,702,7.25,KOBİ
2023-07-10,Kuzey Amerika,Meksika,Mexico City,Mobilya,Dolap,17,7565,13.2,Kurumsal
2023-05-05,Kuzey Amerika,Meksika,Mexico City,Giyim,Ayakkabı,18,2880,20.47,KOBİ
2023-07-16,Avrupa,İngiltere,Londra,Mobilya,Kitaplık,18,4338,17.36,KOBİ
2023-04-10,Kuzey Amerika,Kanada,Toronto,Giyim,Pantolon,7,3073,17.65,KOBİ
2023-03-30,Asya,Hindistan,Mumbai,Elektronik,Kulaklık,17,8347,28.85,Bireysel
2023-12-05,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Sandalye,9,3708,12.25,KOBİ
2023-03-18,Asya,Hindistan,Mumbai,Elektronik,Telefon,15,6030,28.37,Kurumsal
2023-01-11,Avrupa,Fransa,Paris,Giyim,Tişört,7,1799,17.83,KOBİ
2023-02-26,Avrupa,Fransa,Paris,Elektronik,Laptop,7,462,27.26,KOBİ
2023-09-29,Asya,Hindistan,Mumbai,Mobilya,Masa,4,1404,13.82,Bireysel
2023-12-18,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Kitaplık,2,226,29.03,KOBİ
2023-06-21,Güney Amerika,Brezilya,Sao Paulo,Elektronik,Kulaklık,14,4774,12.89,Bireysel
2023-06-05,Afrika,Nijerya,Lagos,Mobilya,Masa,18,1980,29.46,KOBİ
2023-06-04,Afrika,Güney Afrika,Cape Town,Mobilya,Dolap,13,1599,14.51,Bireysel
2023-01-06,Afrika,Nijerya,Lagos,Mobilya,Masa,4,348,21.02,Bireysel
2023-09-29,Afrika,Nijerya,Lagos,Elektronik,Kulaklık,11,550,25.3,Kurumsal
2023-01-05,Avrupa,Fransa,Paris,Elektronik,Kulaklık,9,1278,6.25,KOBİ
2023-05-18,Kuzey Amerika,Meksika,Mexico City,Elektronik,Kulaklık,18,8532,7.2,KOBİ
2023-02-18,Kuzey Amerika,ABD,New York,Elektronik,Laptop,2,110,6.69,KOBİ
2023-10-09,Kuzey Amerika,ABD,New York,Mobilya,Masa,6,2238,18.35,Bireysel
2023-12-17,Avrupa,Almanya,Berlin,Elektronik,Laptop,15,7110,28.43,Bireysel
2023-05-15,Asya,Japonya,Tokyo,Elektronik,Telefon,4,532,27.74,Kurumsal
2023-10-13,Avrupa,Fransa,Paris,Elektronik,Kulaklık,3,1200,11.1,Kurumsal
2023-11-08,Kuzey Amerika,Kanada,Toronto,Giyim,Tişört,17,6664,11.74,Bireysel
2023-08-30,Asya,Japonya,Tokyo,Giyim,Ceket,11,2079,6.49,KOBİ
2023-05-19,Güney Amerika,Arjantin,Buenos Aires,Giyim,Ceket,12,4644,9.67,KOBİ
2023-08-24,Kuzey Amerika,Meksika,Mexico City,Giyim,Ceket,1,119,6.31,Kurumsal
2023-02-03,Kuzey Amerika,Meksika,Mexico City,Elektronik,Laptop,8,720,24.14,KOBİ
2023-06-16,Avrupa,İngiltere,Londra,Elektronik,Kulaklık,15,7410,11.29,Bireysel
2023-09-01,Avrupa,İngiltere,Londra,Elektronik,Kulaklık,2,162,7.21,Bireysel
2023-04-12,Asya,Çin,Pekin,Giyim,Tişört,6,138,29.26,KOBİ
2023-09-03,Avrupa,Fransa,Paris,Giyim,Ayakkabı,6,2070,17.74,KOBİ
2023-06-21,Güney Amerika,Arjantin,Buenos Aires,Giyim,Tişört,9,918,17.35,Kurumsal
2023-08-12,Güney Amerika,Brezilya,Sao Paulo,Giyim,Tişört,17,7888,11.77,Bireysel
2023-11-07,Afrika,Mısır,Kahire,Mobilya,Masa,9,3501,27.62,Kurumsal
2023-12-12,Avrupa,Almanya,Berlin,Mobilya,Dolap,12,3252,16.78,KOBİ
2023-09-05,Kuzey Amerika,ABD,New York,Giyim,Tişört,2,868,14.84,KOBİ
2023-07-19,Asya,Hindistan,Mumbai,Elektronik,Kulaklık,12,2256,20.7,Bireysel
2023-08-07,Güney Amerika,Şili,Santiago,Giyim,Ceket,12,2196,20.39,Kurumsal
2023-09-03,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Kitaplık,2,652,16.4,Bireysel
2023-12-05,Afrika,Mısır,Kahire,Elektronik,Laptop,8,1440,10.72,KOBİ
2023-04-27,Asya,Japonya,Tokyo,Elektronik,Laptop,5,2420,23.4,Kurumsal
2023-11-09,Avrupa,Fransa,Paris,Giyim,Pantolon,13,4862,15.09,Kurumsal
2023-02-24,Avrupa,İngiltere,Londra,Giyim,Ayakkabı,16,1232,10.75,Bireysel
2023-11-07,Kuzey Amerika,Kanada,Toronto,Giyim,Pantolon,2,166,9.18,Bireysel
2023-11-29,Avrupa,İngiltere,Londra,Giyim,Tişört,13,6279,11.3,Bireysel
2023-04-03,Avrupa,Fransa,Paris,Giyim,Pantolon,18,5418,5.45,Bireysel
2023-03-13,Kuzey Amerika,Meksika,Mexico City,Giyim,Pantolon,18,3402,28.97,KOBİ
2023-02-10,Güney Amerika,Şili,Santiago,Giyim,Tişört,5,295,9.18,KOBİ
2023-05-12,Kuzey Amerika,Kanada,Toronto,Giyim,Ayakkabı,20,7960,14.44,Kurumsal
2023-09-23,Güney Amerika,Şili,Santiago,Elektronik,Telefon,8,608,7.47,Bireysel
2023-06-14,Asya,Japonya,Tokyo,Giyim,Tişört,20,1960,10.24,KOBİ
2023-04-13,Kuzey Amerika,Meksika,Mexico City,Giyim,Ayakkabı,9,2880,6.18,Kurumsal
2023-07-10,Afrika,Güney Afrika,Cape Town,Mobilya,Sandalye,17,8432,20.73,KOBİ
2023-12-19,Güney Amerika,Brezilya,Sao Paulo,Giyim,Ceket,16,3040,9.52,Bireysel
2023-05-12,Avrupa,Fransa,Paris,Giyim,Tişört,14,5474,18.76,Bireysel
